source_path,source_filename,source_sha256,collection,canonical_filename,unit_type,top_level_unit,unit_identifier,document_title,topic_slug,destination_path,transformed_sha256,classification_evidence,status
01-scope-cornell-notes.tex,01-scope-cornell-notes.tex,93e7f7ca9b25b8f35ee0b69cd0671e4cf55d88f31b5fd89b2fec7e5f8905a572,cpp,01-scope-cornell-notes.tex,Clause,01,01,Scope,01-scope,src/cornell-notes/programming/languages/cpp/cpp-2024/clauses/01-scope/01-scope-cornell-notes.tex,7b32af4582618357b0fa9315cff38c967dbc73df534c7ac901df91f2d1b74c2a,collection remainder after ISO-specific template classification,source_removed
02-normative-references-cornell-notes.tex,02-normative-references-cornell-notes.tex,41dc21927d6148ed9a8492f78f5737ccc1d74f932f5d821102fec627facc6d03,cpp,02-normative-references-cornell-notes.tex,Clause,02,02,Normative References,02-normative-references,src/cornell-notes/programming/languages/cpp/cpp-2024/clauses/02-normative-references/02-normative-references-cornell-notes.tex,9df922855b30c198e6785ae232000a89929eee5742b2b21972ded9ca3ecb8e63,collection remainder after ISO-specific template classification,source_removed
03-01-access-cornell-notes.tex,03-01-access-cornell-notes.tex,f967028ec1a7c047f3b7d92bec5a71aacc645d8d0270a399679bad681a6ce2ca,cpp,03-01-access-cornell-notes.tex,Clause,03,03.01,Access,03-access,src/cornell-notes/programming/languages/cpp/cpp-2024/clauses/03-access/03-01-access-cornell-notes.tex,4749414192b57c00f880279ff05efb33282e39f7bdf57dbf340180e1398a58d0,collection remainder after ISO-specific template classification,source_removed
03-02-argument-cornell-notes.tex,03-02-argument-cornell-notes.tex,89aa3667993d074f7fe4516080e8fac85f7dc3b2790035eb3611bcabff3bfabd,cpp,03-02-argument-cornell-notes.tex,Clause,03,03.02,Argument,03-argument,src/cornell-notes/programming/languages/cpp/cpp-2024/clauses/03-argument/03-02-argument-cornell-notes.tex,8e9acbfdc8f57007461c8834bd0cfb5abc88200c94f339fee8515d1ed825e4f7,collection remainder after ISO-specific template classification,source_removed
03-03-argument-cornell-notes.tex,03-03-argument-cornell-notes.tex,e46dda3f8d7061eac0bc15c3bb1b55505719191edcf00abb534bf957a9c11034,cpp,03-03-argument-cornell-notes.tex,Clause,03,03.03,Argument,03-argument,src/cornell-notes/programming/languages/cpp/cpp-2024/clauses/03-argument/03-03-argument-cornell-notes.tex,cb3c850e3c4277ef24d8e378f42b4ef6a0887191ea5502f26e1406a3e9b962d6,collection remainder after ISO-specific template classification,source_removed
03-04-argument-cornell-notes.tex,03-04-argument-cornell-notes.tex,b3603103ab1473100247d53b7273de53d635454b2e403bd60ac81d0859856da9,cpp,03-04-argument-cornell-notes.tex,Clause,03,03.04,Argument,03-argument,src/cornell-notes/programming/languages/cpp/cpp-2024/clauses/03-argument/03-04-argument-cornell-notes.tex,700743f401b18f22d883e964763e1f252669f9ed7a483fc84dfb4c74c19e8f3e,collection remainder after ISO-specific template classification,source_removed
03-05-argument-cornell-notes.tex,03-05-argument-cornell-notes.tex,38d0e67552d8e21b43e1225ba3d6eb16397d4f298d95d9ca500e6dc2bbcc5b3d,cpp,03-05-argument-cornell-notes.tex,Clause,03,03.05,Argument,03-argument,src/cornell-notes/programming/languages/cpp/cpp-2024/clauses/03-argument/03-05-argument-cornell-notes.tex,cb51bfbd38256b887d9a49aa64047679b3b9b8ccba76970d4757dde6138286ed,collection remainder after ISO-specific template classification,source_removed
03-06-block-cornell-notes.tex,03-06-block-cornell-notes.tex,b5c5d0388e522fefecba2ae121627f37b16369f7d2e69e29ba2483e79517dc27,cpp,03-06-block-cornell-notes.tex,Clause,03,03.06,Block,03-block,src/cornell-notes/programming/languages/cpp/cpp-2024/clauses/03-block/03-06-block-cornell-notes.tex,d4cdd4e958f3830d361741709aa93dd4f963c3b21120a2d8955527bd534ab5cd,collection remainder after ISO-specific template classification,source_removed
03-07-block-cornell-notes.tex,03-07-block-cornell-notes.tex,1c493007b635f85fad8568433f65c3f8fedc49dbd0106947eba590e5cd8a37f1,cpp,03-07-block-cornell-notes.tex,Clause,03,03.07,Block,03-block,src/cornell-notes/programming/languages/cpp/cpp-2024/clauses/03-block/03-07-block-cornell-notes.tex,1c6775a6c167f15f87ce37fcd126c3028ecf4516808ac09dbb7fb749b787c2b1,collection remainder after ISO-specific template classification,source_removed
03-08-c-standard-library-cornell-notes.tex,03-08-c-standard-library-cornell-notes.tex,37488d9a46183bea5f95fb0d7cbd6449404e33407ac1217ee3df6bb98df011b6,cpp,03-08-c-standard-library-cornell-notes.tex,Clause,03,03.08,C Standard Library,03-c-standard-library,src/cornell-notes/programming/languages/cpp/cpp-2024/clauses/03-c-standard-library/03-08-c-standard-library-cornell-notes.tex,7d9a21fcba8481008557db7d4e76fd310c5b899535f7c156eae5860e1f5db048,collection remainder after ISO-specific template classification,source_removed
